,Name,gini
776,PEPEPENPEN,0.484
777,PEPESPLANET,0.407
778,PEPOLLO,0.746
779,RINGOFPEPE,0.792
780,STANPEPEE,0.726
781,WHOAPEPE,0.439
782,PEPEZEUS,0.537
783,PEPESAKURA,0.767
784,PEPEPORTRAIT,0.826
785,PEPEANDSON,0.811
786,MYFIRSTPEPE,0.794
787,PEPEDROID,0.656
788,CUBISTPEPE,0.618
789,RPBANHAMMER,0.7
790,RARECHERRY,0.43
791,THEPEPENATOR,0.332
792,FINNPEPE,0.83
793,PEPEHUNTER,0.722
794,PEPEFRACTAL,0.603
795,FAIRYODDPEPE,0.828
796,JASMINEPEPE,0.822
797,PEPEJEANS,0.877
798,PEPEAIRLINES,0.79
799,PEPESINCITY,0.0
800,PEPESUMMER,0.729
801,PEPELMINING,0.722
802,BEATLESPEPE,0.583
803,KITANO,0.739
804,PEPEMOM,0.747
805,SCREAMPEPE,0.788
806,VAULTBOYPEPE,0.743
807,PEPEOLDCASH,0.558
808,TETSUWANPEPE,0.779
809,SMELLPEPE,0.704
810,CREMAPEPE,0.369
811,PEPEHEMAN,0.683
812,YANAGINIPEPE,0.792
813,GIPEPE,0.784
814,HAPPYRAINY,0.588
815,PEPEHOLOGRAM,0.419
816,PEPEJORN,0.767
817,UNCLEPEPESAM,0.667
818,SAILMOONPEPE,0.706
819,FUJINPEPE,0.718
820,SENJUPEPE,0.698
821,RAIJINPEPE,0.737
822,WWFPEPE,0.669
823,KUMADORIPEPE,0.746
824,PEPEVANEYCK,0.563
825,TITANICPEPE,0.725
826,FEATHERSPEPE,0.685
827,PEPEASTROBOY,0.656
828,SWAROPEPE,0.724
829,FTERTHERAIN,0.88
830,VEGANPEPE,0.838
831,PEPEBOW,0.814
832,SLEEPINGPEPE,0.789
833,PEPESHIELD,0.786
834,PLEGO,0.887
835,PEPEVANHALEN,0.724
836,PEPERAILWAYS,0.659
837,BATTLEPEPE,0.821
838,PEPEAMAZING,0.872
839,THEKINGPEPE,0.56
840,NOHPEPE,0.732
841,PEPERONCINO,0.71
842,PEPESTAFF,0.641
843,HUMBLEPEPE,0.621
844,CLAYPEPE,0.53
845,RAREAPPLE,0.632
846,PAWNTHELAMBO,0.505
847,PENPEN,0.437
848,ENDRACISMPE,0.768
849,YUGUREPEPE,0.728
850,VIKINGSPEPE,0.635
851,PEPEPEARL,0.303
852,PEPEINSIDE,0.657
853,POSTMDRNPEPE,0.808
854,PEPEFAMOUS,0.766
855,NOBORDERPEPE,0.651
856,PEPEANDROID,0.595
857,PEPECOURAGE,0.451
858,KUNGFUPEPE,0.636
859,UMENIPEPE,0.778
860,PEPEHITMAN,0.687
861,BLINGBLING,0.607
862,DAPHNIAPEPE,0.633
863,FREETIBETPP,0.55
864,FLATEARTH,0.711
865,DEUSEXPEPE,0.343
866,FILEONPEPE,0.423
867,GLUTTONYPEPE,0.81
868,ORTRAILPEPE,0.808
869,PEPEDOL,0.771
870,PEPEAGYO,0.829
871,FLOWERPEPE,0.807
872,PEPEGRAM,0.565
873,MINDPEPEHOFF,0.858
874,PEPELCHTNSTN,0.784
875,ROTATINGPEPE,0.795
876,RONINKEK,0.859
877,PACPEP,0.87
878,PEPESIGNGUY,0.849
879,WEEDTIME,0.894
880,PEPESAILORV,0.835
881,KEKLORDGABEN,0.504
882,MYLADYPEPE,0.797
883,VANILLAPEPE,0.658
884,PEPEUNGYO,0.826
885,RAINYPEPE,0.747
886,RAMBOPEPE,0.42
887,JAPANESEPEPE,0.61
888,MRSTAYPEPT,0.741
889,PEPEDDIT,0.57
890,PEPEYAKUZA,0.792
