,Price_Level,Date_Index
763,189.7,2021-11
764,189.7,2021-12
765,243.9,2022-01
766,243.9,2022-02
767,135.5,2022-03
768,135.5,2022-04
769,176.15,2022-05
770,0.0,2016-01
771,0.0,2016-02
772,0.0,2016-03
773,0.0,2016-04
774,0.0,2016-05
775,0.0,2016-06
776,0.0,2016-07
777,0.0,2016-08
778,0.0,2016-09
779,0.0,2016-10
780,0.0,2016-11
781,0.0,2016-12
782,10.569,2017-01
783,10.569,2017-02
784,10.569,2017-03
785,10.569,2017-04
786,10.569,2017-05
787,10.569,2017-06
788,10.569,2017-07
789,10.569,2017-08
790,10.569,2017-09
791,10.569,2017-10
792,10.569,2017-11
793,8.129999999999999,2017-12
794,8.129999999999999,2018-01
795,8.129999999999999,2018-02
796,8.129999999999999,2018-03
797,8.129999999999999,2018-04
798,8.129999999999999,2018-05
799,8.129999999999999,2018-06
800,9.6205,2018-07
801,9.6205,2018-08
802,9.6205,2018-09
803,9.6205,2018-10
804,9.6205,2018-11
805,9.6205,2018-12
806,9.6205,2019-01
807,9.6205,2019-02
808,9.6205,2019-03
809,9.6205,2019-04
810,9.6205,2019-05
811,9.6205,2019-06
812,9.6205,2019-07
813,9.6205,2019-08
814,9.6205,2019-09
815,9.6205,2019-10
816,9.6205,2019-11
817,9.6205,2019-12
818,9.6205,2020-01
819,9.6205,2020-02
820,9.6205,2020-03
821,9.6205,2020-04
822,9.6205,2020-05
823,9.6205,2020-06
824,9.6205,2020-07
825,9.6205,2020-08
826,9.6205,2020-09
827,9.6205,2020-10
828,9.6205,2020-11
829,9.6205,2020-12
830,9.6205,2021-01
831,9.6205,2021-02
832,26.113990993333335,2021-03
833,27.1,2021-04
834,27.1,2021-05
835,25.62098649,2021-06
836,25.62098649,2021-07
837,463.59370000000007,2021-08
838,343.4925,2021-09
839,272.4905,2021-10
840,522.28125,2021-11
841,325.2,2021-12
842,325.2,2022-01
843,325.2,2022-02
844,325.2,2022-03
845,230.35,2022-04
846,230.35,2022-05
847,0.0,2016-01
848,0.0,2016-02
849,0.0,2016-03
850,0.0,2016-04
851,0.0,2016-05
852,0.0,2016-06
853,0.0,2016-07
854,0.0,2016-08
855,0.0,2016-09
856,0.0,2016-10
857,0.0,2016-11
858,0.0,2016-12
859,0.0,2017-01
860,0.0,2017-02
861,0.0,2017-03
862,0.0,2017-04
863,0.0,2017-05
864,0.0,2017-06
865,0.0,2017-07
866,1.897,2017-08
867,1.897,2017-09
868,1.897,2017-10
869,1.897,2017-11
870,1.897,2017-12
871,1.897,2018-01
872,1.897,2018-02
873,1.897,2018-03
