Name,gini
PEPEPOLLOCK,0.88
PEPEPOOL,0.471
PEPEPOOR,0.579
PEPEPOPE,0.04
PEPEPORTRAIT,0.826
PEPEPOST,0.774
PEPEPOWERONE,0.146
PEPEPOWERTWO,0.115
PEPEPRINT,0.797
PEPEPSI,0.617
PEPEPUFF,0.907
PEPEPUNCHOUT,0.817
PEPEPUNKDOLL,0.821
PEPEPYRAMID,0.767
PEPEQQ,0.907
PEPERACCOON,0.531
PEPERAMBO,0.785
PEPERANGER,0.566
PEPERARE,0.227
PEPERAZZIS,0.817
PEPERBOY,0.833
PEPERCULESS,0.908
PEPEREALM,0.91
PEPERECALL,0.786
PEPERECHAUN,0.876
PEPERELOADED,0.721
PEPEREME,0.625
PEPERGRIFFIN,0.295
PEPERICH,0.284
PEPERIDER,0.675
PEPERMAID,0.878
PEPERMIND,0.402
PEPEROOTS,0.471
PEPEROSS,0.132
PEPEROYAL,0.528
PEPERREVENGE,0.775
PEPERRIDA,0.651
PEPERRR,0.775
PEPERUS,0.755
PEPERUSSIAN,0.453
PEPESACE,0.426
PEPESAILOR,0.859
PEPESAILORV,0.837
PEPESAKURA,0.767
PEPESAX,0.733
PEPESCAVHUNT,0.489
PEPESCHEME,0.573
PEPESCIENCE,0.879
PEPESCREAM,0.849
PEPESEARCH,0.831
PEPESHADES,0.696
PEPESHELDON,0.701
PEPESHIRT,0.604
PEPESHKRELI,0.79
PEPESIGNGUY,0.849
PEPESITO,0.671
PEPESKELETON,0.688
PEPESMALLS,0.461
PEPESMURF,0.308
PEPESOUP,0.865
PEPESOURCE,0.591
PEPESPACE,0.55
PEPESPINNER,0.505
PEPESPLANET,0.406
PEPESQRPANTS,0.638
PEPESSANGE,0.434
PEPESTARBOY,0.658
PEPESTONED,0.69
PEPESTORM,0.692
PEPESTYLE,0.549
PEPESUMMER,0.729
PEPESUMO,0.646
PEPESUPREME,0.463
PEPESURF,0.91
PEPESURFING,0.565
PEPESURRECT,0.834
PEPESUS,0.75
PEPETACO,0.708
PEPETANGCLAN,0.743
PEPETAR,0.586
PEPETARD,0.809
PEPETARO,0.469
PEPETE,0.676
PEPETERROR,0.755
PEPETEX,0.839
PEPETHEFIRST,0.682
PEPETHEFROG,0.708
PEPETHESOG,0.529
PEPETHETROLL,0.892
PEPETHOR,0.897
PEPETHREESIX,0.833
PEPETHUGLIFE,0.49
PEPETHUR,0.792
PEPETIA,0.109
PEPETIE,0.865
PEPETIME,0.355
PEPETIN,0.888
PEPETOBI,0.305
PEPETODAMOON,0.384
PEPETONE,0.936
PEPETOULLE,0.91
PEPETOWN,0.834
PEPETRADER,0.386
PEPETRASH,0.87
PEPETRATION,0.803
PEPETRAZ,0.899
PEPETREK,0.802
PEPETRODOL,0.905
PEPETUITY,0.545
PEPETUNADE,0.666
PEPETUUR,0.637
PEPEUBU,0.406
PEPEUNGYO,0.826
PEPEUNIVERSE,0.537
PEPEVANEYCK,0.547
PEPEVANHALEN,0.726
PEPEVIAGRA,0.104
PEPEVICH,0.556
PEPEVIDEODRO,0.621
PEPEVIRAL,0.417
PEPEVOLUTION,0.363
PEPEVOORHEES,0.564
PEPEVYPER,0.604
PEPEWANTSYOU,0.684
PEPEWAT,0.718
PEPEWAVE,0.756
PEPEWAY,0.571
PEPEWEST,0.093
PEPEWISHPERS,0.696
PEPEWOKE,0.692
PEPEWOMAN,0.465
PEPEWONKA,0.83
PEPEWORLDCUP,0.587
PEPEWYATT,0.691
PEPEXECUTIVE,0.809
PEPEXGALLERY,0.826
PEPEXILE,0.811
PEPEXIT,0.926
PEPEXMAS,0.666
PEPEYIP,0.845
PEPEYOTES,0.602
PEPEZAALBINO,0.293
PEPEZEUS,0.533
PEPEZIO,0.914
PEPEZOMBIE,0.628
PEPEZONCARD,0.793
PEPFICTION,0.753
PEPITCHY,0.461
PEPMANIA,0.687
PEPMONDRIAN,0.794
PEPOCALYPSE,0.907
PEPOCKY,0.662
PEPOLLO,0.746
PEPONG,0.508
PEPTARO,0.642
PEPUNCONFIRM,0.863
PERAPPA,0.92
PEROCHI,0.49
PHEONIXPEPE,0.399
PHNTOMOFPEPE,0.798
PICASSOPEPE,0.801
PIGPEPE,0.846
PINCHAN,0.75
PIRATESPEPES,0.87
PIRATPEPE,0.63
PISFORPEPE,0.882
PLATINUMPEPE,0.68
PLAYBOYPEPE,0.743
PLEGO,0.886
PLINKOPEPE,0.84
PMOPEPE,0.714
POKERPEPE,0.735
POWERTOPEPE,0.667
PPKING,0.645
PPPGLOBAL,0.839
PREPEDATOR,0.582
PRINCESSPEPE,0.607
PRIVATEPEPE,0.652
PROBLEMSOLVE,0.891
PROCESSPEPE,0.744
PROOFOFPEPE,0.517
PSEUDOPEPE,0.652
PSYCHEPEPE,0.586
PSYKEKDELIC,0.736
PTSDPEPE,0.806
PUFFPEPE,0.626
PUMPINGPEPE,0.566
PUNCHPEPE,0.824
PUREGOLDPEPE,0.65
PUREPEPE,0.385
PUTINPEPE,0.0
PUZZLEPEPE,0.875
PWAPWAPWAPWA,0.722
PYJAMASPEPE,0.809
PYTHONPEPE,0.816
QUEGUAYPEPE,0.835
QUEPASAPEPE,0.861
RABBIPEPE,0.0
RAGZTOPEPE,0.466
RAIJINPEPE,0.737
RAIRPEPE,0.611
RAMBOPEPE,0.404
RANDOMPEPE,0.7
RANGOPEPE,0.615
RAOULDUKEPEP,0.542
RAREAPPLE,0.624
RARECARDDECK,0.634
RARECHAVEZ,0.746
RARECHERRY,0.44
RARECOINMEME,0.062
RAREDIETIES,0.882
RAREGROYPER,0.786
RAREIVANKA,0.632
RAREKEKUIT,0.692
RARELEAGUE,0.752
RARELORDKEK,0.859
RAREMRROBOT,0.812
RAREPEGO,0.777
RAREPEPE,0.301
RAREPEPEDAO,0.916
RAREPEPEFONZ,0.946
RAREPEPENOTE,0.771
RAREPEPESHOW,0.768
RAREPEPESS,0.435
RAREQUEEM,0.614
RARESLIMPEPE,0.786
RARETEMPLATE,0.731
RAREWOLFPEPE,0.833
RAREZOMBIE,0.559
REAPERPEPE,0.779
RELATEPEPE,0.392
RELAXPEPE,0.301
REPOPEPE,0.593
RERERPERP,0.286
RESERVPEPES,0.83
RETROPEPE,0.863
REVOLUCIONAR,0.655
REYPEPE,0.6
RGBPEPE,0.748
RICHPEPEPOOR,0.74
RICKYPEPE,0.805
RINGITPEPE,0.91
ROADMAPEPE,0.822
ROBOTPEPE,0.847
ROCKETPEPE,0.398
ROCKINGPEPE,0.846
ROLLINGPEPE,0.375
RONINKEK,0.859
ROOMRAREPEPE,0.62
ROTATINGPEPE,0.795
RPBANHAMMER,0.703
RPCAGENT,0.841
RPDF,0.947
RPEPEARMANDO,0.683
RPEPEGOJAIL,0.93
RPEPEGOLDENR,0.872
RPEPERAMI,0.793
RPSILLYWALK,0.929
